epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.0339,3.34127,2.92459,2.93602,0.03193,0.17366,0.03478,0.01123,3.16196,4.66371,2.54999,0.0670966,0.000165344,0.000165344
2,43.829,2.36744,1.91759,2.15368,0.26025,0.64989,0.22875,0.10746,1.99223,3.12682,1.97941,0.0339299,0.000331975,0.000331975
3,63.7172,2.00035,1.67974,1.88269,0.56199,0.63662,0.6138,0.32147,1.76059,1.51244,1.69822,0.000763011,0.000498461,0.000498461
4,83.9325,1.84694,1.46107,1.702,0.53758,0.65458,0.58116,0.30836,1.71578,1.50132,1.68539,0.000499512,0.000499512,0.000499512
5,104.043,1.7477,1.37614,1.61128,0.65674,0.70103,0.69803,0.37399,1.64043,1.34534,1.60561,0.000499132,0.000499132,0.000499132
6,124.547,1.71987,1.3239,1.59975,0.62642,0.7232,0.70634,0.35656,1.64905,1.311,1.59623,0.000498644,0.000498644,0.000498644
7,144.991,1.648,1.23449,1.54674,0.62778,0.70229,0.6925,0.39261,1.59309,1.24658,1.57499,0.000498048,0.000498048,0.000498048
8,165.342,1.58538,1.19259,1.49423,0.68861,0.68321,0.73674,0.43285,1.51841,1.22571,1.54124,0.000497345,0.000497345,0.000497345
9,185.813,1.55025,1.19286,1.45325,0.66841,0.72901,0.75528,0.44661,1.50591,1.15274,1.48053,0.000496534,0.000496534,0.000496534
10,206.145,1.5494,1.15076,1.45696,0.6688,0.70137,0.71571,0.40731,1.52153,1.29294,1.48414,0.000495616,0.000495616,0.000495616
11,226.9,1.53717,1.13831,1.44166,0.66555,0.79962,0.7644,0.44653,1.48568,1.12557,1.48208,0.000494592,0.000494592,0.000494592
12,247.437,1.50908,1.08961,1.4248,0.68964,0.74809,0.79742,0.46795,1.53766,1.07019,1.5085,0.000493461,0.000493461,0.000493461
13,267.8,1.50081,1.09498,1.41185,0.6904,0.73664,0.77482,0.46478,1.46739,1.10494,1.43572,0.000492224,0.000492224,0.000492224
14,288.069,1.50565,1.06834,1.40569,0.68559,0.75763,0.78585,0.45008,1.57261,1.09609,1.47765,0.000490883,0.000490883,0.000490883
15,308.265,1.49799,1.08288,1.39662,0.7041,0.76527,0.77903,0.45209,1.51574,1.1227,1.49526,0.000489437,0.000489437,0.000489437
16,328.611,1.45752,1.05484,1.37607,0.70237,0.77863,0.80526,0.48484,1.47559,1.05333,1.43902,0.000487886,0.000487886,0.000487886
17,349.049,1.45599,1.0431,1.37914,0.68388,0.75382,0.78256,0.45906,1.49543,1.1705,1.5032,0.000486233,0.000486233,0.000486233
18,369.33,1.43452,1.00503,1.36775,0.71946,0.79771,0.81965,0.4997,1.43422,0.99395,1.42487,0.000484477,0.000484477,0.000484477
19,389.843,1.4235,0.99499,1.35402,0.75706,0.77099,0.80581,0.48403,1.45425,1.00345,1.4328,0.00048262,0.00048262,0.00048262
20,410.111,1.43378,0.99364,1.36253,0.71108,0.80534,0.82619,0.50363,1.44702,0.97486,1.42973,0.000480661,0.000480661,0.000480661
21,430.555,1.40671,0.99029,1.35685,0.67915,0.78771,0.80085,0.50357,1.4241,1.01446,1.41425,0.000478603,0.000478603,0.000478603
22,450.877,1.4111,0.97541,1.34728,0.67627,0.78435,0.78969,0.47624,1.4509,1.05577,1.41575,0.000476445,0.000476445,0.000476445
23,471.317,1.39126,0.95414,1.33772,0.73167,0.81679,0.84651,0.50884,1.46439,1.02231,1.43613,0.000474189,0.000474189,0.000474189
24,491.936,1.38339,0.94189,1.33108,0.73581,0.82384,0.85314,0.52589,1.42613,0.91306,1.43138,0.000471835,0.000471835,0.000471835
25,512.315,1.4015,0.93769,1.33744,0.82356,0.76718,0.8768,0.54333,1.40877,0.88317,1.38666,0.000469386,0.000469386,0.000469386
26,532.756,1.37192,0.92856,1.326,0.76936,0.80848,0.87197,0.52833,1.41989,0.91518,1.4225,0.000466841,0.000466841,0.000466841
27,553.101,1.37094,0.9255,1.31562,0.7709,0.82443,0.87334,0.51695,1.43575,0.89488,1.4166,0.000464203,0.000464203,0.000464203
28,573.529,1.37433,0.93651,1.31643,0.72398,0.77481,0.81058,0.49838,1.40561,0.99587,1.38036,0.000461471,0.000461471,0.000461471
29,593.763,1.38001,0.90275,1.31543,0.75491,0.85305,0.88293,0.53744,1.42309,0.85481,1.42157,0.000458648,0.000458648,0.000458648
30,613.998,1.37956,0.90428,1.31364,0.78587,0.81946,0.8908,0.54423,1.40526,0.88896,1.39395,0.000455734,0.000455734,0.000455734
31,634.341,1.35356,0.9067,1.31023,0.75015,0.80534,0.85191,0.52463,1.40792,0.89227,1.41555,0.000452732,0.000452732,0.000452732
32,654.624,1.35062,0.89668,1.31452,0.80509,0.79771,0.8846,0.53776,1.43465,0.9472,1.43595,0.000449641,0.000449641,0.000449641
33,674.941,1.36383,0.91945,1.33132,0.797,0.7958,0.87894,0.54691,1.40459,0.91938,1.42984,0.000446464,0.000446464,0.000446464
34,695.31,1.34682,0.91077,1.31342,0.80899,0.80534,0.88593,0.54436,1.4085,0.86093,1.38641,0.000443202,0.000443202,0.000443202
35,715.864,1.32336,0.8758,1.29982,0.77362,0.80344,0.86835,0.53836,1.41835,0.89846,1.4126,0.000439856,0.000439856,0.000439856
36,736.202,1.34424,0.88497,1.31427,0.81023,0.83015,0.88555,0.5523,1.39568,0.84506,1.38583,0.000436428,0.000436428,0.000436428
37,756.512,1.3522,0.87442,1.31321,0.80764,0.80127,0.8876,0.54699,1.41391,0.86095,1.42947,0.00043292,0.00043292,0.00043292
38,776.785,1.32576,0.85782,1.30129,0.84487,0.78989,0.9053,0.55887,1.43153,0.86999,1.44746,0.000429332,0.000429332,0.000429332
39,797.122,1.33072,0.8578,1.3086,0.84173,0.81107,0.89391,0.55162,1.3978,0.83132,1.38151,0.000425667,0.000425667,0.000425667
40,817.265,1.34684,0.85841,1.3083,0.7698,0.82634,0.86398,0.53263,1.46425,0.90823,1.45698,0.000421925,0.000421925,0.000421925
41,837.542,1.33664,0.8327,1.30375,0.79182,0.84198,0.90021,0.55723,1.39938,0.81664,1.38532,0.00041811,0.00041811,0.00041811
42,858.028,1.3313,0.85834,1.31422,0.76812,0.82183,0.86634,0.53935,1.39927,0.93875,1.41371,0.000414222,0.000414222,0.000414222
43,878.108,1.30017,0.83761,1.28065,0.80462,0.80344,0.88393,0.53173,1.44527,0.85611,1.45992,0.000410262,0.000410262,0.000410262
44,898.437,1.31965,0.84328,1.28006,0.80234,0.84542,0.89495,0.55207,1.41665,0.82978,1.4087,0.000406234,0.000406234,0.000406234
45,918.615,1.31542,0.84596,1.29109,0.7632,0.86832,0.88139,0.54657,1.41029,0.85445,1.42777,0.000402138,0.000402138,0.000402138
46,938.926,1.29551,0.83055,1.28015,0.76282,0.8187,0.86745,0.53044,1.43157,0.86551,1.39594,0.000397977,0.000397977,0.000397977
47,962.457,1.31566,0.8316,1.29124,0.80876,0.83128,0.8975,0.5359,1.46891,0.8126,1.48612,0.000393752,0.000393752,0.000393752
48,982.603,1.33012,0.84257,1.29091,0.83792,0.77941,0.89144,0.55301,1.39517,0.80665,1.38094,0.000389464,0.000389464,0.000389464
49,1002.99,1.28785,0.81774,1.27369,0.81506,0.8074,0.8894,0.56133,1.40386,0.80381,1.41235,0.000385117,0.000385117,0.000385117
50,1023.41,1.30768,0.82017,1.28962,0.83408,0.78053,0.89175,0.55291,1.40219,0.8335,1.41439,0.000380712,0.000380712,0.000380712
51,1043.6,1.30003,0.81831,1.27701,0.82267,0.80567,0.89912,0.56064,1.36524,0.7963,1.37459,0.00037625,0.00037625,0.00037625
52,1064.03,1.28468,0.80899,1.26696,0.78584,0.8645,0.90604,0.57345,1.37383,0.77548,1.37534,0.000371734,0.000371734,0.000371734
53,1084.41,1.27574,0.80639,1.27598,0.82325,0.79108,0.88705,0.56466,1.35931,0.83985,1.39108,0.000367166,0.000367166,0.000367166
54,1104.52,1.26953,0.78603,1.26721,0.77294,0.83805,0.88811,0.55154,1.38004,0.80829,1.39419,0.000362547,0.000362547,0.000362547
55,1124.82,1.27524,0.7971,1.26586,0.79265,0.87405,0.90958,0.57622,1.36955,0.76332,1.381,0.00035788,0.00035788,0.00035788
56,1145.24,1.25831,0.80344,1.25967,0.79054,0.84991,0.893,0.56279,1.37346,0.841,1.38984,0.000353167,0.000353167,0.000353167
57,1165.44,1.26729,0.79122,1.27478,0.81563,0.84426,0.90414,0.54718,1.41092,0.79887,1.42838,0.00034841,0.00034841,0.00034841
58,1185.77,1.30168,0.79546,1.28529,0.84347,0.83298,0.90614,0.57013,1.38575,0.78477,1.39879,0.000343611,0.000343611,0.000343611
59,1206.15,1.27351,0.77863,1.26878,0.81517,0.8645,0.91383,0.5739,1.37165,0.78011,1.3723,0.000338772,0.000338772,0.000338772
60,1226.41,1.2696,0.77425,1.25839,0.839,0.80552,0.90841,0.57197,1.36139,0.76411,1.37985,0.000333894,0.000333894,0.000333894
61,1246.57,1.25904,0.76592,1.24968,0.79952,0.82443,0.89723,0.55756,1.38301,0.78391,1.3785,0.000328982,0.000328982,0.000328982
62,1266.92,1.27479,0.75598,1.25796,0.78225,0.87753,0.90741,0.56872,1.39872,0.78102,1.41627,0.000324035,0.000324035,0.000324035
63,1287.22,1.25482,0.77156,1.25632,0.82877,0.84542,0.91557,0.58492,1.37405,0.75708,1.38887,0.000319058,0.000319058,0.000319058
64,1307.73,1.24601,0.77871,1.24595,0.787,0.83015,0.88652,0.56405,1.35376,0.85886,1.36746,0.000314051,0.000314051,0.000314051
65,1327.9,1.26815,0.78092,1.27097,0.812,0.85878,0.92021,0.56711,1.41696,0.76158,1.43181,0.000309017,0.000309017,0.000309017
66,1348.26,1.24638,0.75954,1.24827,0.78363,0.88469,0.9135,0.57555,1.36599,0.75903,1.38035,0.000303958,0.000303958,0.000303958
67,1368.66,1.24539,0.75482,1.25447,0.82892,0.8507,0.91709,0.56677,1.35756,0.75394,1.36774,0.000298877,0.000298877,0.000298877
68,1388.89,1.23052,0.74581,1.24122,0.83604,0.84542,0.91832,0.5869,1.35093,0.74418,1.37668,0.000293775,0.000293775,0.000293775
69,1409.23,1.23332,0.75104,1.24481,0.81756,0.86373,0.9103,0.5727,1.35756,0.75275,1.3704,0.000288656,0.000288656,0.000288656
70,1429.54,1.2353,0.7426,1.2416,0.82627,0.8416,0.91479,0.57665,1.37528,0.73756,1.39635,0.00028352,0.00028352,0.00028352
71,1449.83,1.22795,0.74734,1.23693,0.81869,0.85115,0.91003,0.57755,1.37049,0.76235,1.38943,0.000278371,0.000278371,0.000278371
72,1470.09,1.22242,0.74263,1.23679,0.82765,0.87405,0.92459,0.5855,1.37019,0.73438,1.38684,0.00027321,0.00027321,0.00027321
73,1490.25,1.21145,0.72599,1.23735,0.83361,0.8187,0.90735,0.57878,1.38297,0.75475,1.39043,0.000268041,0.000268041,0.000268041
74,1510.52,1.21828,0.73171,1.24046,0.81612,0.87239,0.91653,0.58801,1.3454,0.72231,1.37712,0.000262864,0.000262864,0.000262864
75,1530.88,1.23249,0.7505,1.24211,0.83114,0.84351,0.91728,0.58689,1.36494,0.74193,1.38369,0.000257683,0.000257683,0.000257683
76,1551.14,1.21859,0.74071,1.24152,0.81066,0.85796,0.91175,0.5835,1.36214,0.75435,1.39155,0.0002525,0.0002525,0.0002525
77,1571.66,1.21529,0.73622,1.23942,0.81539,0.83588,0.90153,0.57835,1.36248,0.7759,1.38352,0.000247317,0.000247317,0.000247317
78,1592.04,1.20468,0.73628,1.22503,0.80117,0.86893,0.91079,0.59096,1.33642,0.73123,1.36438,0.000242136,0.000242136,0.000242136
79,1612.43,1.204,0.71302,1.23354,0.82283,0.87023,0.92126,0.58836,1.3596,0.7304,1.38658,0.000236959,0.000236959,0.000236959
80,1632.81,1.21973,0.72595,1.23925,0.8226,0.84067,0.91182,0.58174,1.37272,0.76268,1.3942,0.00023179,0.00023179,0.00023179
